,accession,strain
555,AF376084,S21082 /SAR/00
556,AF376085,S2861-SAR-00
557,AF376086,S40201 /SAR/00
558,AF376087,S40221 /SAR/00
559,AF376088,10M/AUS/6/99
560,AF376089,11F/AUS/6/99
561,AF376090,12F/AUS/6/99
562,AF376091,14F/AUS/9/99
563,AF376092,15M/AUS/8/99
564,AF376093,16F/AUS/6/99
565,AF376094,17M/AUS/5/99
566,AF376095,18F/AUS/6/99
567,AF376096,19M/AUS/6/99
568,AF376097,1M/AUS/3/99
569,AF376098,1M/AUS/12/00
570,AF376099,20F/AUS/6/99
571,AF376100,25M/AUS/2/99
572,AF376101,26M/AUS/2/99
573,AF376102,27M/AUS/2/99
574,AF376103,2M/AUS/3/99
575,AF376104,3F/AUS/3/99
576,AF376105,4F/AUS/4/99
577,AF376106,5M/AUS/5/99
578,AF376107,6F/AUS/6/99
579,AF376108,7F/AUS/6/99
580,AF376109,8M/AUS/6/99
581,AF376110,9F/AUS/6/99
582,AF376111,2027/SIN/01
583,AF376112,2120/SIN/01
584,AF376113,2123/SIN/01
585,AF376114,2267/SIN/01
586,AF376115,2386/SIN/01
587,AF376116,3526/SIN/98
588,AF376117,3799/SIN/98
589,AF376118,4284/SIN/98
590,AF376119,4350/SIN/98
591,AF376120,4575/SIN/98
592,AF376121,5511-SIN-00
593,AF376122,5536/SIN/00
594,AF376123,5546/SIN/00
595,AF376124,5556/SIN/00
596,AF376125,5769/SIN/00
597,AF376126,5859/SIN/00
598,AF376127,5869/SIN/00
599,AF376128,5881/SIN/00
600,AF376129,5926/SIN/00
601,AF525220,KOR-EV71-01/KOR/00
602,AF525221,KOR-EV71-03/KOR/00
603,AF525222,KOR-EV71-06/KOR/00
604,AF525223,KOR-EV71-10/KOR/00
605,AF525224,KOR-EV71-13/KOR/00
606,AH012706,S18191/SAR/02
607,AJ238447,EV71/8/97/UH2
608,AJ586873,EV71/9/97/SHA89
609,AM396584,ENT/PM/SHA52
610,AM396585,ENT/PM/SHA71
611,AM396586,EV71/SAR/SHA66
612,AM396587,UH1/PM/1997
613,AM396588,EV71/SARSHA63
614,AM490146,1177T/VNM/05
615,AM490149,1301V/VNM/05
616,AM490151,540V/VNM/2005
617,AM490161,933V/VNM/2005
618,AM490162,962T/VNM/2005
619,AM939576,H0-6438-418-06
620,AM939577,EP/2063/01
