,accession,strain
2429,JQ621839,C2/EV71/263/PHL/2002
2430,JQ621840,C2/EV71/27/PHL/2000
2431,JQ621841,C2/EV71/323/PHL/2002
2432,JQ621842,C2/EV71/80/PHL/2005
2433,JQ639383,HN1360/HN/CHN/2011
2434,JQ639384,HN318/HN/CHN/2011
2435,JQ742001,AFP2001064/EV71/GX/CHN/2001
2436,JQ742002,AFP2001071/EV71/GX/CHN/2001
2437,JQ744289,12-Ma-195/PHL
2438,JQ744290,34-LP-171/PHL
2439,JQ744293,35-Pa-162/PHL
2440,JQ744297,20-Pa-238/PHL
2441,JQ744298,43-Ma-241/PHL
2442,JQ744299,3-Pa-182/PHL
2443,JQ766123,SCDC01
2444,JQ766124,SCDC02
2445,JQ766125,SCDC03
2446,JQ766126,SCDC04
2447,JQ766127,SCDC05
2448,JQ766128,SCDC06
2449,JQ766129,SCDC07
2450,JQ766130,SCDC012010
2451,JQ766131,SCDC022010
2452,JQ766132,SCDC032010
2453,JQ766133,SCDC042010
2454,JQ766134,SCDC052010
2455,JQ766135,SCDC062010
2456,JQ766136,SCDC072010
2457,JQ766137,SCDC082010
2458,JQ766138,SCDC092010
2459,JQ766139,SCDC102010
2460,JQ766140,SCDC012011
2461,JQ766141,SCDC022011
2462,JQ766142,SCDC032011
2463,JQ766143,SCDC042011
2464,JQ766144,SCDC052011
2465,JQ766145,SCDC062011
2466,JQ766146,SCDC072011
2467,JQ766147,SCDC082011
2468,JQ766148,SCDC092011
2469,JQ766149,SCDC102011
2470,JQ766150,SB12007
2471,JQ766151,SB12282
2472,JQ766152,OSAKA
2473,JQ766159,ABRCR
2474,JQ766160,C1SB9580
2475,JQ766161,C10915
2476,JQ766162,C22641
2477,JQ766163,C28M
2478,JQ766164,C397
2479,JQ766165,C303
2480,JQ766166,C4BH26
2481,JQ766167,C4BH25
2482,JQ766168,C4A521
2483,JQ766169,C4A52109F
2484,JQ766170,Shanghai10-38348
2485,JQ766171,Shanghai10-MH702
2486,JQ766172,Shanghai10-MH704
2487,JQ766173,Shanghai10-38349
2488,JQ766174,Shanghai10-38350
2489,JQ766175,Shanghai10-38381
2490,JQ766176,Shanghai10-QP1
2491,JQ766177,Shanghai08-49R2
2492,JQ766178,Shanghai08-79V2
2493,JQ766179,Shanghai08-81V2
2494,JQ766180,Shanghai08-171R4
2495,JQ766181,Shanghai08-228R4
2496,JQ766182,Jiangsu2008-LYG47
2497,JQ766183,Jiangsu2008-LYG59
2498,JQ766184,Jiangsu2008-LYG81
2499,JQ766185,Jiangsu2008-LYG100
2500,JQ766186,Jiangsu2008-LYG101
2501,JQ766187,Jiangsu2008-LYG240
2502,JQ766188,Jiangsu2008-LYG258
2503,JQ766189,Jiangsu2008-YC1
2504,JQ766190,Q1EV
2505,JQ766191,Q3EV
2506,JQ766192,WHEV
2507,JQ766193,XF1
2508,JQ766194,XF3
2509,JQ766195,XFE3
2510,JQ766196,XFE4
2511,JQ806378,35/Jingdezhen/China/HFMD_Severe/2011
2512,JQ900604,SiICRC_16/TH/2011
2513,JQ900605,SiICRC_10/TH/2011
2514,JQ900606,SiICRC_7/TH/2011
2515,JQ900607,SiICRC_8/TH/2011
2516,JQ900608,SiICRC_17/TH/2011
2517,JQ900609,SiICRC_18/TH/2011
2518,JQ900610,SiICRC_12/TH/2011
2519,JQ900611,SiICRC_11/TH/2011
2520,JQ900612,SiICRC_14/TH/2011
2521,JQ900613,SiICRC_15/TH/2011
2522,JQ900614,SiICRC_13/TH/2011
2523,JQ900615,SiICRC_9/TH/2011
2524,JQ906802,EV71/XY4/2011
2525,JQ906803,EV71/XY5/2011
2526,JQ906804,EV71/XYZZ8/2011
2527,JQ906805,EV71/XY18/2011
2528,JQ906806,EV71/XY20/2011
2529,JQ922517,Chi11-EV71-74jn
2530,JQ922518,Chi11-EV71-96jn
2531,JQ922519,Chi11-EV71-97jn
2532,JQ922520,Chi11-EV71-211jn
2533,JQ950553,26M/AUS/4/99/GuaR2
2534,JQ950554,26M/AUS/4/99/GuaR3
2535,JQ950555,26M/AUS/4/99/GuaR1
2536,JX014230,SX/EV-5/EV71/2011
2537,JX017384,01011Y
2538,JX025559,LAZ60-TR
2539,JX075098,EV71/XY4/2011
2540,JX103502,Huizhou-83
2541,JX103503,117/HZ/GD/CHN/2011
2542,JX103504,292/HZ/GD/CHN
2543,JX103505,440/HZ/GD/CHN
2544,JX103506,602/HZ/GD/CHN
2545,JX111888,GD-DG2011-1
2546,JX111889,GD-DG2011-2
2547,JX111890,GD-DG2011-3
2548,JX111891,GD-DG2011-5
2549,JX111892,GD-DG2011-8
2550,JX111893,GD-DG2011-9
2551,JX155254,HENXX01/2011
2552,JX155255,HENXX02/2011
2553,JX155256,HENXX03/2011
2554,JX155257,HENXX04/2011
2555,JX155258,HENXX05/2011
2556,JX155259,HENXX06/2011
2557,JX155260,HENXX07/2011
2558,JX155261,HENXX08/2011
2559,JX155262,HENXX09/2011
2560,JX155263,HENXX10/2011
2561,JX203260,AS17-2011
2562,JX203261,AS69-2011
2563,JX203262,AS159-2011
2564,JX203263,AS163-2011
2565,JX203264,BJ184-2011
2566,JX203265,GY25-2011
2567,JX203266,GY100-2011
2568,JX203267,GY309-2011
2569,JX203268,H5-2011
2570,JX203269,H38-2011
2571,JX203270,LPS8-2011
2572,JX203271,LPS11-2011
2573,JX203272,LPS42-2011
2574,JX203273,LPS62-2011
2575,JX203274,LPS126-2011
2576,JX203275,LPS153-2011
2577,JX203276,QDN74-2011
2578,JX203277,QN4-2011
2579,JX203278,QN61-2011
2580,JX203279,TR23-2011
2581,JX203280,TR52-2011
2582,JX203281,TR126-2011
2583,JX203282,ZY30-2011
2584,JX203283,ZY61-2011
2585,JX203284,ZY471-2011
2586,JX203285,ZY524-2011
2587,JX203286,ZY554-2011
2588,JX203287,ZY619-2011
2589,JX203288,ZY898-2011
2590,JX307648,C08-041
2591,JX307649,C08-146
2592,JX307650,C08-142
2593,JX307651,T08-235
2594,JX427561,1201/NC/CHN/2012
2595,JX427562,1203/NC/CHN/2012
2596,JX473300,EV71-SHZH2011-0509
2597,JX473319,EV71-SHZH2011-1001
2598,JX509919,201108
2599,JX509920,201107
2600,JX509921,201106
2601,JX509922,201105
2602,JX509923,201104
2603,JX509924,201103
2604,JX509925,201102
2605,JX509926,201101
2606,JX961705,226/HZ/GD/CHN
2607,JX961706,233/HZ/GD/CHN
2608,JX986737,Wuhan1042/HuB/CHN/2011
2609,JX986738,Wuhan1117/HuB/CHN/2011
2610,JX986739,Wuhan1143/HuB/CHN/2011
2611,KC007533,NC399/NC/CHN/2011
2612,KC007534,NC429/NC/CHN/2011
2613,KC007535,NC406/NC/CHN/2012
2614,KC007536,NC497/NC/CHN/2011
2615,KC007537,NC434/NC/CHN/2011
2616,KC007538,NC419/NC/CHN/2011
2617,KC007539,NC500/NC/CHN/2011
2618,KC007540,NC511/NC/CHN/2011
2619,KC109780,202/Jingdezhen/China/HFMD_Severe/2011
2620,KC414134,JiLin-11-China
2621,KC493670,30-ZZ-HN-CHN-2010
2622,KC493672,36-ZZ-HN-CHN-2010
2623,KC493673,37-ZZ-HN-CHN-2010
2624,KC493674,40-ZZ-HN-CHN-2010
2625,KC493675,43-ZZ-HN-CHN-2010
2626,KC570452,SH12-036
2627,KC570453,SH12-276
2628,KC801024,GD-DG-310/2012
2629,KC801025,GD-QY-223/2012
2630,KC801026,GD-SZ-222/2012
2631,KC801027,GD-FS-985/2011
2632,KC801028,GD-FS-315/2011
2633,KC801029,GD-FS-094/2011
2634,KC801031,GD-DG-210/2012
2635,KC801032,GD-SZ-186/2012
2636,KC801033,GD-FS-886/2011
2637,KC801034,GD-FS-882/2011
2638,KC835033,SHFD11-45/SH/CHN/2011
2639,KC835051,SHFD11-70/SH/CHN/2011
2640,KC835054,SHFD11-75/SH/CHN/2011
2641,KC835055,SHFD11-76/SH/CHN/2011
2642,KC866764,JB141130103
2643,KC866765,JB141130106
2644,KC866766,JB141130114
2645,KC866767,JB141130125
2646,KC866768,JB141130126
2647,KC866769,JB141130136
2648,KC866770,JB141130142
2649,KC866771,JB141130146
2650,KC866772,JB141130153
2651,KC866773,JB141130160
2652,KC866774,JB141130168
2653,KC866775,JB141130176
2654,KC866776,JB141130186
2655,KC866777,JB141130196
2656,KC866778,JB141230098
2657,KC866779,JB141230188
2658,KC866780,JB141230197
2659,KC866781,JB141230201
2660,KC866782,JB141230202
2661,KC866783,JB141230203
2662,KC866784,JB141230204
2663,KC866785,JB141230208
2664,KC866786,JB141230233
2665,KC866787,JB141230237
2666,KC866788,JB141230238
2667,KC866789,JB141230244
2668,KC866790,JB141230247
2669,KC866791,JB141230342
2670,KC866792,JB141230357
2671,KC866793,JB141230371
2672,KC866794,JB141210002
2673,KC866795,JB141210004
2674,KC866796,JB141210006
2675,KC866797,JB141210007
2676,KC866798,JB141210009
2677,KC866799,JB141210011
2678,KC866800,JB141210012
2679,KC866801,JB141210014
2680,KC866802,JB141210015
2681,KC866803,JB141210020
2682,KC866804,JB141210021
2683,KC866805,JB141210022
2684,KC866806,JB141210023
2685,KC866807,JB141210025
2686,KC866808,JB141210026
2687,KC866809,JB141210028
2688,KC866810,JB141210029
2689,KC866811,JB141210030
2690,KC866812,JB141210031
2691,KC866813,JB141210032
2692,KC866814,JB141210033
2693,KC866815,JB141210034
2694,KC894865,EV1004-Terengganu-11
2695,KC894866,EV1056-Terengganu-11
2696,KC894867,EV1268-Pahang-11
2697,KC894868,EV0978-Sarawak-11
2698,KC894869,EV0984-Sarawak-11
2699,KC894872,EV0691-Terengganu-10
2700,KC894873,EV0733-PPinang-10
2701,KC894874,EV0744-Johor-10
2702,KC894875,EV0994-Terengganu-10
2703,KC894876,EV1233-Kedah-10
2704,KC894877,EV1297-Melaka-10
2705,KC894878,EV1299-Melaka-10
2706,KC894879,EV1301-Melaka-10
2707,KC894880,EV1312-Johor-10
2708,KC894881,EV1389-KLumpur-10
2709,KC894882,EV0615-Johor-12
2710,KC894883,EV0616-Johor-12
2711,KC894884,EV0655-Kedah-12
2712,KC894885,EV0659-Pahang-12
2713,KC894886,EV0665-Kelantan-12
2714,KC894887,EV0673-Johor-12
2715,KC894888,EV0710-Johor-12
2716,KC894889,EV0769-Johor-12
2717,KC894890,EV0775-Johor-12
2718,KC894891,EV0779-Johor012
2719,KC894892,EV0791-Johor-12
2720,KC894893,EV0834-Johor-12
2721,KC894894,EV0891-Johor-12
2722,KC894895,EV0894-Kedah-12
2723,KC894896,EV0896-Johor-12
2724,KC894897,EV0953-Johor-12
2725,KC894898,EV0961-Johor-12
2726,KC894899,EV1002-Johor-12
2727,KC894900,EV1003-Johor-12
2728,KC894901,EV1170-Selangor-12
2729,KC894902,EV1325-Johor-12
2730,KC894903,EV0997-Pahang-12
2731,DQ841990,E2002117
2732,XX1,E2002119
2733,XX2,A2002151
2734,XX3,A2002063
2735,XX4,A2002539
2736,XX5,E2003016
2737,DQ372630,2003-2161
2738,XX6,2003-2239
2739,XX7,2004-1043
2740,XX8,2005-0228
2741,XX9,2005-0229
2742,XX10,2005-1277
2743,XX30,2005-1280
2744,XX11,2005-1283
2745,XX12,2005-2088
2746,XX13,2005-2244
2747,XX14,2005-3207
2748,XX15,2005-3267
2749,XX16,2005-2392
2750,XX17,2008-1893
2751,XX18,2008-2039
2752,XX19,2008-3406
2753,XX20,2008-3701
2754,XX21,2008-4556
2755,XX22,2008-4845
2756,XX23,2008-4890
2757,KF134485,A2011090
2758,XX24,2010-1217
2759,XX25,2010-3267
2760,KF134463,2010-5396
2761,KF134486,A2011125
2762,KF134482,A2011116
2763,KF134483,A2011140
2764,HM622391,2008-00643
2765,XX26,E2006125
2766,KF142411,HNCZ/201203
2767,KF142412,HNCZ/201208
2768,KF142413,HNCZ/201211
2769,KF142414,HNCZ-2012-15
2770,KF142415,HNCZ-2012-07
2771,KF142416,HNCZ-2012-18
2772,KF142417,HNCZ-2012-01
2773,KF142418,HNCZ-2012-09
2774,KF142419,HNCZ-2012-13
2775,KF142420,HNCZ-2012-17
2776,KF150174,202/LY/CHN/AM/11/EV71
2777,KF154354,
2778,KF154355,
2779,KF358275,EV71-Jiaxing-1
2780,KF358276,EV71-Jiaxing-2
2781,KF501389,EV71/wuhan/3018/2010
2782,KF514878,EV71:BS
2783,KF748135,SiICRC06/TH/2012
2784,KF748136,SiICRC01/TH/2013
2785,KF748138,SiICRC01/TH/2012
2786,KF748139,SiICRC02/TH/2012
2787,KF748140,SiICRC03/TH/2012
2788,KF748141,SiICRC02/TH/2013
2789,KF826491,TZ06
2790,KF906416,V08-5327
2791,KF906417,V11-2209
2792,KF906420,V10-4243
2793,KF906422,R-80135
2794,KF906427,
2795,KF906428,
2796,KF906429,
2797,KF906430,
2798,KF906431,
2799,KF906432,
2800,KF906433,
2801,KF906434,
2802,KF925268,FL002T/AH/CHN/2012
2803,KF925269,FL003T/AH/CHN/2012
2804,KF925270,FL012T/AH/CHN/2012
2805,KF925271,FL028T/AH/CHN/2012
2806,KF925272,FL031T/AH/CHN/2012
2807,KF925273,FL001T/AH/CHN/2011
2808,KF925274,FL003T/AH/CHN/2011
2809,KF925275,FL004T/AH/CHN/2011
2810,KF925276,FL005T/AH/CHN/2011
2811,KF925277,FL008T/AH/CHN/2011
2812,KF925278,FL009T/AH/CHN/2011
2813,KF925279,FL010T/AH/CHN/2011
2814,KF925280,FL011T/AH/CHN/2011
2815,KF925281,FL012T/AH/CHN/2011
2816,KF925282,FL013T/AH/CHN/2011
2817,KF925283,FL015T/AH/CHN/2011
2818,KF925284,FL017T/AH/CHN/2011
2819,KF974779,
2820,KF974780,
2821,KF974781,
2822,KF974783,
2823,KF974784,
2824,KF974785,
2825,KF974786,
2826,KF974787,
2827,KF974788,
2828,KF974790,
2829,KF974791,
2830,KF974792,
2831,KF974793,
2832,KF974794,
2833,KF974795,
2834,KF974796,
2835,KF974797,
2836,KF974798,
2837,KF982854,DL71
2838,KJ004552,EV71/Hun11-32/2011
2839,KJ004553,EV71/Hun11-4/2011
2840,KJ004554,EV71/Hun12-14/2012
2841,KJ004555,EV71/Hun12-10/2012
2842,KJ139450,SH/CHN/2012
2843,KJ156339,CS591/HN/CHN/12
2844,KJ156340,CS207/HN/CHN/12
2845,KJ156341,CS688/HN/CHN/12
2846,KJ156342,CS423/HN/CHN/12
2847,KJ156343,CS487/HN/CHN/12
2848,KJ188623,SHC058/CHN/2011
2849,KJ188624,SHC057/CHN/2011
2850,KJ188625,SHC055/CHN/2011
2851,KJ188626,SHC052/CHN/2011
2852,KJ188627,SHC014/CHN/2011
2853,KJ188628,SHC013/CHN/2011
2854,KJ188629,SHC011/CHN/2011
2855,KJ188630,SHC019/CHN/2011
2856,KJ188631,SHC032/CHN/2011
2857,KJ188632,SHC059/CHN/2011
2858,KJ188633,SHC046/CHN/2011
2859,KJ188634,SHC002/CHN/2011
2860,KJ188635,SHC040/CHN/2011
2861,KJ188636,SHC045/CHN/2011
2862,KJ188637,SHC077/CHN/2011
2863,KJ188638,SHC070/CHN/2011
2864,KJ188639,SHC068/CHN/2011
2865,KJ188640,SHC063/CHN/2011
2866,KJ188641,SHC082/CHN/2011
2867,KJ188642,SHC080/CHN/2011
2868,KJ407271,FLE0350
2869,KJ407272,FLA6010
2870,KJ508182,Hubei-HG/CHN/2012
2871,KJ508817,A71
2872,KJ632497,wenzhou011
2873,KJ632498,wenzhou256
2874,KJ632499,wenzhou227
2875,KJ686128,EV71/Homo sapiens/VNM/152/2012
2876,KJ686137,EV71/Homo sapiens/VNM/133/2012
2877,KJ686140,EV71/Homo sapiens/VNM/180/2012
2878,KJ686176,EV71/Homo sapiens/VNM/168/2012
2879,KJ686192,EV71/Homo sapiens/VNM/185/2012
2880,KJ686211,EV71/Homo sapiens/VNM/174/2012
2881,KJ686222,EV71/Homo sapiens/VNM/179/2012
2882,KJ686234,EV71/Homo sapiens/VNM/176/2012
2883,KJ686264,EV71/Homo sapiens/VNM/177/2012
2884,KJ686270,EV71/Homo sapiens/VNM/171/2012
2885,KJ686277,EV71/Homo sapiens/VNM/121/2012
2886,KJ686296,EV71/Homo sapiens/VNM/129/2012
2887,KJ686297,EV71/Homo sapiens/VNM/192/2011
2888,KJ686302,EV71/Homo sapiens/VNM/62/2012
2889,KJ772423,11061/SD/CHN
2890,KJ772424,11072/SD/CHN
2891,KJ772425,11144C1/SD/CHN
2892,KJ772426,11144C5/SD/CHN
2893,KJ772427,11171/SD/CHN
2894,KJ772428,11236/SD/CHN
2895,KJ772429,11298C1/SD/CHN
2896,KJ772430,11317/SD/CHN
2897,KJ772431,11318/SD/CHN
2898,KJ772432,11475C4/SD/CHN
2899,KJ772433,12256/SD/CHN
2900,KJ772434,12295/SD/CHN
2901,KJ772435,13004/SD/CHN
2902,KJ772436,13061/SD/CHN
2903,KJ772437,13112/SD/CHN
2904,KJ772438,13138/SD/CHN
2905,KJ772439,13164/SD/CHN
2906,KJ772440,13168/SD/CHN
2907,KJ772441,13175/SD/CHN
2908,KJ772442,13196/SD/CHN
2909,KJ772443,13390/SD/CHN
2910,KJ772444,13411/SD/CHN
2911,KJ784495,HuzhouE371/2011/CHN
2912,KJ784496,HuzhouE696/2012/CHN
2913,KJ784497,CS15/HN/CHN/12
2914,KJ784498,CS98/HN/CHN/12
2915,KJ784499,CS156/HN/CHN/12
2916,KJ784500,CS731/HN/CHN/12
2917,KJ865518,120465/GZ/2012/EV71
2918,KJ865520,127583/GZ/2012/EV71
2919,KJ865521,129157/GZ/2012/EV71
2920,KJ865522,135520/GZ/2013/EV71
2921,KJ865525,1213845/GZ/2012/EV71
2922,KJ865526,1311423/GZ/2013/EV71
2923,KJ865527,1320703/GZ/2013/EV71
2924,KJ865528,1322103/GZ/2013/EV71
2925,KJ865529,1328233/GZ/2013/EV71
2926,KM201232,HeN-11-Sanmenxia-3
2927,KM201233,HeN-11-Sanmenxia-4
2928,KM201234,HeN-11-Sanmenxia-7
2929,KM201235,HeN-11-Sanmenxia-11
2930,KM201236,HeN-11-Sanmenxia-13
2931,KM201237,HeN-11-Sanmenxia-18
2932,KM201238,HeN-11-Sanmenxia-20
2933,KM201239,HeN-11-Sanmenxia-23
2934,KM201240,HeN-11-Sanmenxia-24
2935,KM201241,HeN-11-Sanmenxia-30
2936,KM201242,HeN-11-Sanmenxia-33
2937,KM201243,HeN-11-Sanmenxia-37
2938,KM201244,HeN-11-Sanmenxia-38
2939,KM201245,HeN-11-Sanmenxia-39
2940,KM201246,HeN-11-Sanmenxia-43
2941,KM201247,HeN-11-Sanmenxia-44
2942,KM201248,HeN-11-Sanmenxia-45
2943,KM201249,HeN-11-Sanmenxia-46
2944,KM201250,HeN-11-Sanmenxia-50
2945,KM211579,Puyang-451-2012
2946,KM211580,Puyang-461-2012
2947,KM260012,7-Henan-2011
2948,KM260013,9-Henan-2011
2949,KM260014,143-Henan-2011
2950,KM260015,153-Henan-2011
2951,KM260016,170-Henan-2011
2952,KM260017,173-Henan-2011
2953,KM260018,208-Henan-2011
2954,KM260019,512-Henan-2011
2955,KM260020,533-Henan-2011
2956,KM260021,873-Henan-2012
2957,KM260022,1571-Henan-2012
2958,KM260023,1573-Henan-2012
2959,KM260024,1576-Henan-2012
2960,KM260025,82-Henan-2013
2961,KM260026,83-Henan-2013
2962,KM260027,156-Henan-2013
2963,KM260028,157-Henan-2013
2964,KM260029,212-Henan-2013
2965,KM260030,229-Henan-2013
2966,KM260031,355-Henan-2013
2967,KM260032,473-Henan-2013
2968,KM260033,762-Henan-2013
2969,KM260034,917-Henan-2013
2970,KM260035,2-Henan-2014
2971,KM260036,4-Henan-2014
2972,KM260037,5-Henan-2014
2973,KM260038,6-Henan-2014
2974,KM260039,8-Henan-2014
2975,KM260040,9-Henan-2014
2976,KM260041,11-Henan-2014
2977,KM260042,13-Henan-2014
2978,KM260043,14-Henan-2014
2979,KM260044,15-Henan-2014
2980,KM260045,16-Henan-2014
2981,KM260046,17-Henan-2014
2982,KM260047,18-Henan-2014
2983,KM260048,20-Henan-2014
2984,KM260049,21-Henan-2014
2985,KM260051,89-Henan-2014
2986,KM260052,113-Henan-2014
2987,KM260053,118-Henan-2014
2988,KM260054,152-Henan-2014
2989,KM260055,163-Henan-2014
2990,KM408445,01Zhenjiang2011
2991,KM408446,02Zhenjiang2011
2992,KM408447,03Zhenjiang2011
2993,KM408448,04Zhenjiang2011
2994,KM408449,05Zhenjiang2011
2995,KM408450,06Zhenjiang2011
2996,KM408451,07Zhenjiang2011
2997,KM408452,08Zhenjiang2011
2998,KM408453,09Zhenjiang2011
2999,KM408454,10Zhenjiang2011
3000,KM408455,11Zhenjiang2011
3001,KM408456,12Zhenjiang2011
3002,KM408458,02Zhenjiang2012
3003,KM408459,03Zhenjiang2012
3004,KM408460,04Zhenjiang2012
3005,KM408461,05ZhenjiangZZ2012
3006,KM408462,06Zhenjiang2012
3007,KM408463,01Zhenjiang2013
3008,KM408464,02Zhenjiang2013
3009,KM408465,03Zhenjiang2013
3010,KM408466,04Zhenjiang2013
3011,KM408467,05Zhenjiang2013
3012,KM408468,06Zhenjiang2013
3013,KM593929,EV71/Taipei/3118/2011
3014,KM675907,SilCRC03/TH/2013
3015,KM675908,SiICRC04/TH/2013
3016,KM675909,SilCRC07/TH/2012
3017,KM675910,SiICRC08/TH/2012
3018,KM675911,SiICRC09/TH/2012
3019,KM675912,SiICRC10/TH/2012
3020,KM675913,SiICRC11/TH/2012
3021,KM675914,SiICRC12/TH/2012
3022,KM675915,SiICRC05/TH/2013
3023,KM675916,SiICRC01/TH/2014
3024,KM675917,SiICRC02/TH/2014
3025,KM675918,SiICRC03/TH/2014
3026,KM675919,SiICRC04/TH/2014
3027,KM675920,SiICRC05/TH/2014
3028,KM675921,SiICRC06/TH/2014
3029,KM675922,SiICRC07/TH/2014
3030,KM978832,207/SH/CHN/2012
3031,KP005789,JB141310002-EV71
3032,KP005790,JB141310003-EV71
3033,KP005791,JB141310006-EV71
3034,KP005792,JB141310007-EV71
3035,KP005793,JB141310008-EV71
3036,KP005794,JB141310009-EV71
3037,KP005795,JB141310011-EV71
3038,KP005796,JB141310012-EV71
3039,KP005797,JB141310013-EV71
3040,KP005798,JB141310014-EV71
3041,KP005799,JB141330004-EV71
3042,KP005800,JB141330007-EV71
3043,KP005801,JB141330010-EV71
3044,KP005802,JB141330012-EV71
3045,KP005803,JB141330013-EV71
3046,KP005804,JB141330023-EV71
3047,KP005805,JB141330026-EV71
3048,KP005806,JB141330029-EV71
3049,KP005807,JB141330033-EV71
3050,KP005808,JB141330034-EV71
3051,KP005809,JB141330036-EV71
3052,KP005810,JB141330037-EV71
3053,KP005811,JB141330048-EV71
3054,KP005812,JB14133049-EV71
3055,KP005813,JB14133059-EV71
3056,KP005814,JB141330066-EV71
3057,KP005815,JB141330073-EV71
3058,KP005816,JB141330075-EV71
3059,KP005817,JB141330085-EV71
3060,KP005818,JB141330092-EV71
3061,KP005819,JB141330094-EV71
3062,KP005820,JB141330105-EV71
3063,KP005821,JB141330108-EV71
3064,KP005822,JB141330135-EV71
3065,KP005823,JB141330150-EV71
3066,KP005824,JB141330193-EV71
3067,KP005825,JB141330220-EV71
3068,KP005826,JB141330225-EV71
3069,KP005827,JB141330229-EV71
3070,KP005828,JB141330230-EV71
3071,KP005829,JB141330231-EV71
3072,KP005830,JB141330232-EV71
3073,KP005831,JB141330302-EV71
3074,KP005832,JB141330303-EV71
3075,KP005833,JB141330305-EV71
3076,KP005834,JB141330327-EV71
3077,KP137019,Sh004/CHN/2012
3078,KP137020,Sh014/CHN/2012
3079,KP137021,Sh022/CHN/2012
3080,KP137022,Sh023/CHN/2012
3081,KP137023,Sh078/CHN/2012
3082,KP137024,Sh095/CHN/2012
3083,KP137025,Sh100/CHN/2012
3084,KP137026,Sh128/CHN/2012
3085,KP137027,Sh142/CHN/2012
3086,KP137028,Sh157/CHN/2012
3087,KP137029,Sh175/CHN/2012
3088,KP137030,Sh177/CHN/2012
3089,KP137031,Sh213/CHN/2012
3090,KP137032,Sh226/CHN/2012
3091,KP137033,Sh242/CHN/2012
3092,KP137034,Sh282/CHN/2012
3093,KP137035,Sh305/CHN/2012
3094,KP137036,Sh319/CHN/2012
3095,KP137037,Sh364/CHN/2012
3096,KP137038,Sh381/CHN/2012
3097,KP137039,Sh417/CHN/2012
3098,KP171496,34/NC/CHN/2014
3099,KP171497,45/NC/CHN/2014
3100,KP171498,63/NC/CHN/2014
3101,KP171499,67/NC/CHN/2014
3102,KP171500,73/NC/CHN/2014
3103,KP171501,97/NC/CHN/2014
3104,KP171502,156/NC/CHN/2014
3105,KP171503,158/NC/CHN/2014
3106,KP171504,159/NC/CHN/2014
3107,KP171505,163/NC/CHN/2014
3108,KP171506,164/NC/CHN/2014
3109,KP171507,165/NC/CHN/2014
3110,KP171508,166/NC/CHN/2014
3111,KP171509,167/NC/CHN/2014
3112,KP177477,BJ13018/CHN/13
3113,KP177478,BJ13033/CHN/13
3114,KP177479,BJ13037/CHN/13
3115,KP177480,BJ13038/CHN/13
3116,KP177481,BJ13041/CHN/13
3117,KP177482,BJ13050/CHN/13
3118,KP177483,BJ13056/CHN/13
3119,KP177484,BJ13057/CHN/13
3120,KP177485,BJ13058/CHN/13
3121,KP177486,BJ13062/CHN/13
3122,KP177487,BJ13069/CHN/13
3123,KP177488,BJ13097/CHN/13
3124,KP177489,BJ13106/CHN/13
3125,KP177490,BJ13114/CHN/13
3126,KP177491,BJ13116/CHN/13
3127,KP177492,BJ13120/CHN/13
3128,KP177493,BJ13127/CHN/13
3129,KP177494,BJ13128/CHN/13
3130,KP177495,BJ13165/CHN/13
3131,KP177496,BJ13166/CHN/13
3132,KP177497,BJ13171/CHN/13
3133,KP177498,BJ13192/CHN/13
3134,KP177499,BJ13212/CHN/13
3135,KP177500,BJ13217/CHN/13
3136,KP177501,BJ13227/CHN/13
3137,KP177502,BJ13298/CHN/13
3138,KP177503,BJ13394/CHN/13
3139,KP177504,BJ13420/CHN/13
3140,KP192486,Shp250/2012/China
3141,KP192487,Shp263/2012/China
3142,KP192488,Shp233/2012/China
3143,KP192489,Shp348/2012/China
3144,KP198623,Hubei-WH/CHN/2012
3145,KP198624,Henan-ZMD/CHN/2012
3146,KP274877,Taipei/B4-01/2011
3147,KP289417,EV71/P1027/2013/China
3148,KP289418,EV71/P1031/2013/China
3149,KP289419,EV71/P1034/2013/China
3150,KP289420,EV71/P123/2013/China
3151,KP289421,EV71/P156/2013/China
3152,KP289422,EV71/P16/2013/China
3153,KP289423,EV71/P222/2013/China
3154,KP289424,EV71/P267/2013/China
3155,KP289425,EV71/P352/2013/China
3156,KP289426,EV71/P40/2013/China
3157,KP289427,EV71/P454/2013/China
3158,KP289428,EV71/P63/2013/China
3159,KP289429,EV71/P654/2013/China
3160,KP289430,EV71/P868/2013/China
3161,KP289431,EV71/P977/2013/China
3162,KP289432,EV71/P990/2013/China
3163,KP308430,
3164,KP308448,
3165,KP308454,EV71/Homo sapiens/KHM/371/2012
3166,KP723549,109/EV71/Wenzhou/CHN/2014
3167,KR045291,THA_A575
3168,KR045292,THA_A578
3169,KR045293,THA_A683
3170,KR045294,THA_A847
3171,KR045295,THA_A851
3172,KR045296,
3173,KR045297,
3174,KR045298,THA_A1008
3175,KR045299,THA_A1048
3176,KR045300,THA_A1083
3177,KR045301,THA_A1564
3178,KR045302,THA_A1570
3179,KR045303,THA_A1219
3180,KR045304,THA_A577
3181,KR779221,YN2012-A039
3182,KR779222,YN2012-A076
3183,KR779223,YN2012-A083
3184,KR779224,YN2012-A096
3185,KR779225,YN2013-A001
3186,KR779226,YN2012-A006
3187,KR779227,YN2012-A017
3188,KR779228,YN2012-A025
3189,KR779229,YN2012-A072
